,station,mean_temp,mean_wind_speed
0,39,1.3,5.7
0,39,1.3,5.7
0,40,1.7,3.4
0,41,2.5,4.1
0,42,2.6,4.1
0,42,2.6,4.1
0,43,1.1,5.3
0,44,1.4,4.0
0,45,1.3,4.2
0,46,1.5,4.0
0,46,1.5,4.0
0,47,2.2,5.1
0,0,-1.5,2.8
0,0,-1.5,2.8
0,1,-1.5,2.8
0,2,-0.7,3.1
0,2,-0.7,3.1
0,3,0.8,3.1
0,3,0.8,3.1
0,4,-1.3,4.7
0,5,1.2,3.5
0,5,1.2,3.5
0,6,0.6,3.9
0,6,0.6,3.9
0,6,0.6,3.9
0,7,-1.4,4.9
0,8,-1.1,3.3
0,9,-1.4,5.1
0,10,-1.5,3.5
0,11,-0.9,3.3
0,12,-0.1,3.5
0,12,-0.1,3.5
0,13,0.0,3.2
0,13,0.0,3.2
0,13,0.0,3.2
0,14,-1.4,3.0
0,15,0.0,3.6
0,16,0.8,3.4
0,17,-1.2,3.9
0,17,-1.2,3.9
0,17,-1.2,3.9
0,17,-1.2,3.9
0,18,-1.2,3.3
0,19,-1.2,3.9
0,20,-0.4,3.5
0,20,-0.4,3.5
0,21,-0.9,2.6
0,21,-0.9,2.6
0,22,-1.4,3.3
0,22,-1.4,3.3
0,22,-1.4,3.3
0,23,-0.1,3.6
0,23,-0.1,3.6
0,24,0.2,3.6
0,24,0.2,3.6
0,25,0.0,3.4
0,25,0.0,3.4
0,26,-1.6,3.0
0,27,1.2,3.3
0,28,1.0,3.6
0,29,0.0,2.9
0,30,0.5,4.2
0,31,-1.2,3.1
0,31,-1.2,3.1
0,31,-1.2,3.1
0,32,0.5,4.2
0,33,-1.4,3.1
0,33,-1.4,3.1
0,33,-1.4,3.1
0,34,-0.5,2.8
0,34,-0.5,2.8
0,35,1.5,4.0
0,36,-0.8,3.1
0,37,0.5,3.5
0,37,0.5,3.5
0,37,0.5,3.5
0,38,-0.3,2.9
0,39,0.0,4.0
0,39,0.0,4.0
0,39,0.0,4.0
0,40,0.7,3.0
0,41,1.2,3.3
0,42,1.3,3.3
0,42,1.3,3.3
0,43,-0.5,4.7
0,44,1.0,3.1
0,45,-0.7,3.2
0,46,0.3,2.8
0,46,0.3,2.8
0,47,-0.2,3.4
0,0,-2.5,4.9
0,0,-2.5,4.9
0,1,-2.5,4.9
0,2,-0.7,3.9
0,2,-0.7,3.9
0,3,0.7,3.5
0,3,0.7,3.5
0,4,-1.5,4.3
0,5,1.0,3.9
0,5,1.0,3.9
0,6,1.0,3.5
0,6,1.0,3.5
0,6,1.0,3.5
0,7,-2.8,6.8
0,8,-1.7,4.3
0,9,-3.1,3.2
0,10,-2.6,5.5
0,11,-1.5,3.9
0,12,-0.7,3.9
0,12,-0.7,3.9
0,13,-0.4,3.6
0,13,-0.4,3.6
0,13,-0.4,3.6
0,14,-1.8,3.6
0,15,-0.5,2.8
0,16,1.0,3.6
0,17,-1.6,3.6
0,17,-1.6,3.6
0,17,-1.6,3.6
0,17,-1.6,3.6
0,18,-0.9,3.2
0,19,-1.6,3.6
0,20,0.9,3.5
0,20,0.9,3.5
0,21,-1.3,3.7
0,21,-1.3,3.7
0,22,0.1,2.5
0,22,0.1,2.5
0,22,0.1,2.5
0,23,1.3,4.1
0,23,1.3,4.1
0,24,1.1,3.9
0,24,1.1,3.9
0,25,1.0,2.7
0,25,1.0,2.7
0,26,-3.0,3.0
0,27,1.1,4.0
0,28,0.9,4.1
0,29,1.2,2.7
0,30,1.5,4.9
0,31,-0.4,2.8
0,31,-0.4,2.8
0,31,-0.4,2.8
0,32,0.1,5.3
0,33,-1.7,3.8
0,33,-1.7,3.8
0,33,-1.7,3.8
0,34,-0.5,3.0
0,34,-0.5,3.0
0,35,1.8,5.1
0,36,0.1,2.9
0,37,0.0,4.2
0,37,0.0,4.2
0,37,0.0,4.2
0,38,-0.6,3.3
0,39,-0.8,5.1
0,39,-0.8,5.1
0,39,-0.8,5.1
0,40,1.5,3.5
0,41,1.1,4.0
0,42,1.1,4.0
0,42,1.1,4.0
0,43,-1.5,6.2
0,44,0.8,3.5
0,45,-1.2,4.1
0,46,0.3,2.9
0,46,0.3,2.9
0,47,1.4,4.0
0,0,-4.8,1.6
0,0,-4.8,1.6
0,1,-4.8,1.6
0,2,-2.7,2.6
0,2,-2.7,2.6
0,3,-0.1,3.3
0,3,-0.1,3.3
0,4,-2.5,3.9
0,5,0.1,3.3
0,5,0.1,3.3
0,6,-0.2,3.5
0,6,-0.2,3.5
0,6,-0.2,3.5
0,7,-4.3,4.0
0,8,-4.6,2.7
0,9,-3.7,2.7
0,10,-4.7,2.5
0,11,-3.0,2.4
