Navn;Definition;Attainable;Importance;Cat/Num;Datatype;Min;Max;Mean;Std
dsb_lkf_litra_relative_qualifications_mf;;;;Numerical;float;0,9913544668587896;1,1428571428571428;1,040183912665757;0,04074183616660831
dsb_lkf_litra_relative_qualifications_mg;;;;Numerical;float;0,7347328244274809;0,8791615289765722;0,780328688513594;0,04149278256314203
dsb_lkf_litra_relative_qualifications_mq;;;;Numerical;float;0,19863013698630136;0,3418941710539694;0,2859767588671624;0,05094505497116964
dsb_lkf_litra_relative_qualifications_mr;;;;Numerical;float;0,1050228310502283;0,4479992586224427;0,28472283874633536;0,1223638839424771
dsb_event_count;;;;Numerical;int;0;6;0,6421587798201017;0,9329467787468005
dsb_0_1;;;;Numerical;int;0;40;9,578803285099726;6,650147187372509
dsb_tgf_fte;;;;Numerical;float;0;416,1054665921256;97,81588353152141;137,82862703965318
dsb_tgf_raadighed;;;;Numerical;float;0;347,6;27,545603331666694;40,66332303405089
dsb_tgf_sygdom;;;;Numerical;int;0;44;3,5585722451189796;5,582023152184258
dsb_tgf_relative_sygdom;;;;Numerical;float;0;0,2561603503755769;0,02233912273347431;0,02845887035170433
dsb_lkf_fte;;;;Numerical;float;0;460,60200852155685;87,9109948143144;104,16101896074782
dsb_lkf_sygdom;;;;Numerical;float;0;560,8100128173828;24,71463631247188;36,97572192395304
dsb_lkf_relative_sygdom;;;;Numerical;float;0;7,400000095367432;0,2610106279110508;0,32005260905122673
dsb_haandvaerker;;;;Numerical;int;297;564;465,6670376944135;82,9656956770403
dsb_fravaer;;;;Numerical;float;0,6729999780654907;58,19900131225586;12,309632677031004;6,298575273863714
dsb_relative_fravaer;;;;Numerical;float;0,00801190450077965;0,5249429314646706;0,11743251319919533;0,06290977970876724
